20,241
20,171
20,103
20,211
20,210
20,87
20,90
21,174
21,135
21,89
22,205
22,100
22,193
23,138
23,131
23,102
23,141
23,233
23,207
23,112
23,159
23,153
24,149
24,227
24,199
25,143
25,106
25,99
25,90
25,193
25,96
26,157
26,89
26,191
26,116
26,230
26,167
27,202
27,133
28,194
28,95
28,152
29,144
29,172
29,54
29,214
29,141
29,176
30,235
30,204
30,248
30,144
30,100
30,193
31,100
31,64
31,231
31,111
31,199
31,77
31,87
32,101
32,170
32,227
32,112
32,142
32,178
32,89
32,205
33,183
33,183
33,55
34,100
34,88
34,109
35,85
35,172
35,250
35,139
35,201
36,159
36,51
36,92
36,91
36,81
36,72
36,184
36,219
37,96
37,81
37,204
37,211
37,89
37,209
37,66
38,164
38,234
38,90
38,199
38,109
38,195
38,202
38,165
39,143
39,159
39,199
40,94
40,170
40,107
40,159
40,243
40,101
41,162
41,240
41,215
41,68
41,143
41,51
41,155
42,154
42,121
42,164
42,79
42,64
43,146
43,212
43,150
43,109
43,84
43,113
43,216
43,93
43,230
43,234
44,166
44,75
44,152
44,225
44,60
44,199
44,153
44,152
44,237
45,244
45,87
45,216
45,236
45,187
45,103
46,186
46,97
46,93
46,191
46,177
46,90
46,162
46,205
47,167
47,173
47,58
47,134
47,174
47,164
47,184
47,188
47,74
48,161
48,55
48,51
48,105
48,83
49,228
49,89
49,125
49,182
49,141
49,82
49,124
49,77
49,77
49,155
50,52
50,61
51,57
51,186
51,82
51,178
51,215
52,66
52,129
52,164
52,58
53,111
53,240
53,79
53,221
54,129
54,66
54,65
54,239
54,207
54,249
54,156
54,92
55,93
55,195
55,77
55,119
55,167
55,188
