20,73
20,54
21,244
21,158
21,238
21,67
21,51
22,196
22,201
22,208
22,220
22,179
22,185
22,163
22,174
22,114
23,246
24,74
24,245
24,62
24,175
24,184
24,71
24,160
25,65
25,52
25,96
25,228
25,150
25,106
25,130
25,179
25,215
26,247
26,140
26,242
26,170
27,110
27,64
27,229
27,136
27,137
27,160
27,79
27,59
27,104
27,84
28,115
28,201
29,190
29,206
29,183
29,155
29,85
29,156
30,165
30,61
30,117
30,58
30,139
31,122
31,117
31,91
31,183
31,161
32,62
32,184
32,174
32,136
32,141
32,210
33,210
33,66
33,77
33,174
34,94
34,197
35,174
35,215
35,146
35,86
35,83
35,242
35,168
35,231
36,156
36,178
36,180
36,104
36,189
36,118
36,134
36,182
37,100
38,208
38,152
38,210
38,177
39,190
39,94
39,155
39,163
39,56
40,175
40,243
40,105
40,239
40,217
40,87
40,153
41,129
41,107
41,243
41,184
41,115
41,101
41,229
41,133
41,131
42,53
42,104
42,66
42,152
43,96
43,84
43,123
43,122
43,179
43,61
43,78
43,172
44,73
44,108
44,199
45,241
46,150
46,235
46,100
47,225
47,189
48,182
48,202
49,222
49,133
49,222
49,236
49,172
49,180
49,149
50,158
50,226
50,245
50,109
51,54
51,102
51,103
51,89
51,85
51,239
51,185
51,194
51,112
52,248
52,214
52,217
52,210
52,132
52,173
53,215
53,243
53,201
53,89
53,244
53,241
53,125
54,231
54,208
54,142
54,243
54,105
54,105
54,228
54,59
54,139
55,126
55,55
55,83
55,225
55,97
55,52
55,211
